start_pin,destination_pin,bharat_sir_eway_data_apr23_may23_020424.origin_from_state,bharat_sir_eway_data_apr23_may23_020424.destination_from_state,bharat_sir_eway_data_apr23_may23_020424.rtn_period,travel_distance,bharat_sir_eway_data_apr23_may23_020424.transport_mode,bharat_sir_eway_data_apr23_may23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_apr23_may23_020424.unit_quantity_code,Quantity (in TON),amount,bharat_sir_eway_data_apr23_may23_020424.total_tax,bharat_sir_eway_data_apr23_may23_020424.ewbs_count,bharat_sir_eway_data_apr23_may23_020424.supplier_gstin_cnt,Cost pre Km per TON,Average(Cost/KM/TON)
110042,411016,7,27,202305,1650,1,@2523,990,BAG,49.5,267300,74844,1,1,3.272727273,#DIV/0!
123305,152022,6,3,202305,387,1,@2523,10,MTS,10,61250,17150,1,1,15.82687339,
123305,152031,6,3,202305,338,1,@2523,21,MTS,21,128625,36015,1,1,18.12130178,
124106,144514,6,3,202305,370,1,@2523,10,TON,10,439076.54,122941.46,11,1,118.6693351,
124146,173025,6,2,202305,323,1,@2523,39.65,MTS,39.65,204445,57244.69,1,1,15.96359789,
124146,243635,6,9,202305,451,1,@2523,39.74,MTS,39.74,226642,63459.82,1,1,12.64549952,
127022,202002,6,9,202305,307,1,@2523,40,MTS,40,187440,52483.2,1,1,15.26384365,
140113,176309,3,2,202304,418,1,@2523,23.77,TON,23.77,117921.49,33018.01,1,1,11.8682721,
140113,182204,3,1,202304,617,1,@2523,23.55,TON,23.55,242859.38,68000.62,2,1,16.71393876,
140113,182204,3,1,202305,617,1,@2523,24.7,TON,24.7,127359.37,35660.63,1,1,8.356968878,
140113,182204,3,1,202305,617,1,@2523,31.16,TON,31.16,180143.75,50440.25,1,1,9.36993517,
140113,249192,3,5,202305,311,1,@2523,23.63,TON,23.63,131072.66,36700.34,1,1,17.83561144,
140114,182101,3,1,202305,388,2,@2523,329.5,TON,329.5,1185918.28,332057.12,1,1,9.276146927,
140117,190001,3,1,202305,552,1,@2523,15,MTS,15,88722.6,24842.33,1,1,10.71528986,
142038,247776,3,9,202304,327,1,@2523,300,BAG,15,86719,24281.32,1,1,17.67971458,
142050,242407,3,9,202304,710,1,@2523,675,BAG,33.75,203175,56889,1,1,8.478873239,
143001,171304,3,2,202304,361,1,@2523,2,BAG,0.1,1960.02,24252.8,2,1,54.29418283,
145001,185111,3,1,202304,342,1,@2523,11,TON,11,69609.37,19490.63,1,1,18.50328814,
171102,151002,2,3,202305,349,1,@2523,12.2,TON,12.2,191485.68,53615.98,3,1,44.97291559,
175018,172111,2,2,202305,348,1,@2523,12,TON,12,96993.74,27158.26,1,1,23.22647031,
175018,194101,2,38,202305,803,1,@2523,6,MTS,6,389437.5,109042.5,11,1,80.82970112,
175125,194101,2,38,202305,786,1,@2523,300,BAG,15,117000,32760,1,1,9.923664122,
181133,182204,1,1,202304,313,1,@2523,40,BAG,2,100000,28000,8,1,159.7444089,
181133,194101,1,38,202304,948,1,@2523,480,BAG,24,933724.8,0,6,1,41.03924051,
182101,194101,1,38,202305,868,1,@2523,18.75,TON,18.75,794531.25,222468.75,6,1,48.81912442,
182101,194103,1,38,202304,426,1,@2523,5,TON,5,35703.12,9996.88,1,1,16.76202817,
184102,185211,1,1,202305,303,1,@2523,100,BAG,5,27734,7765.52,1,1,18.30627063,
184143,185102,1,1,202304,339,1,@2523,140,BAG,7,43203.12,12096.88,1,1,18.20611884,
190010,194101,1,38,202305,669,1,@2523,203,BAG,10.15,64673.77,18108.66,1,1,9.524364723,
191202,194105,1,38,202305,327,1,@2523,0,   ,,439160,122964.8,7,1,,
201304,440008,9,27,202304,1038,1,@2523,1180,   ,,330400,92512,1,1,,
202122,262202,9,9,202304,301,1,@2523,30,TON,30,167344,46856,1,1,18.53200443,
202127,247340,9,9,202304,301,1,@2523,21,TON,21,257250.01,72030,2,1,40.697676,
202143,262523,9,5,202305,382,1,@2523,31,MTS,31,422375,118265,3,1,35.66753927,
203205,212635,9,9,202305,524,1,@2523,20,MTS,20,101875,28525,1,1,9.720896947,
203205,226012,9,9,202305,522,1,@2523,17,MTS,17,90578,25361.84,1,1,10.20712193,
203205,226017,9,9,202305,515,1,@2523,35,MTS,35,371000,103880,2,1,20.58252427,
203205,227409,9,9,202304,632,1,@2523,20,MTS,20,106000,29680,1,1,8.386075949,
203205,262001,9,9,202304,301,1,@2523,25,MTS,25,2933281.43,821318.8,22,1,389.8048412,
203207,261001,9,9,202304,423,1,@2523,3,TON,3,18375,5145,1,1,14.47990544,
210341,262701,9,9,202304,316,1,@2523,10,TON,10,240312.5,67287.5,4,1,76.04825949,
210341,272208,9,9,202304,458,1,@2523,21,TON,21,140437.5,39322.5,1,1,14.60152838,
211003,227305,9,9,202304,800,1,@2523,6.2,MTS,6.2,18600,0,1,1,3.75,
212107,206246,9,9,202304,354,1,@2523,15,MTS,15,346406.4,96993.8,4,1,65.23661017,
212107,209312,9,9,202304,303,1,@2523,25,MTS,25,441015.75,123484.44,3,1,58.21990099,
212107,284003,9,9,202305,470,2,@2523,1815.2,MTS,1815.2,8123709.78,0,1,1,9.522085111,
212107,800014,9,10,202305,400,2,@2523,2228.6,MTS,2228.6,11178813.6,3130067.81,1,1,12.540175,
221110,241204,9,9,202304,446,1,@2523,500,BAG,25,718750.01,201250.04,7,1,64.4618843,
221110,829117,9,20,202304,360,1,@2523,31.08,MTS,31.08,125874,35244.72,1,1,11.25,
221401,243639,9,9,202305,654,1,@2523,25,MTS,25,400000,112000,4,1,24.4648318,
224238,241403,9,9,202304,320,1,@2523,10,MTS,10,60625,16975,1,1,18.9453125,
226001,302002,9,8,202305,578,1,@2523,1.45,MTS,1.45,3398.44,951.56,1,1,4.054933779,
226008,231001,9,9,202304,371,1,@2523,700,BAG,35,328125,91875,2,1,25.26954178,
226021,274402,9,9,202305,330,1,@2523,250,BAG,12.5,73242.5,20507.9,1,1,17.75575758,
227409,301701,8,8,202305,708,1,@2523,34.36,TON,34.36,42950,12026,1,1,1.765536723,
227409,302039,8,8,202304,700,1,@2523,33.82,TON,33.82,43102.91,12068.82,1,1,1.820685562,
227409,206001,9,9,202304,340,1,@2523,2,TON,2,6963.75,1949.86,2,2,10.24080882,
227409,206001,9,9,202305,340,1,@2523,21,TON,21,221809.21,28,4,2,31.06571569,
229301,272204,9,9,202305,324,1,@2523,200,BAG,10,58593.8,16406.26,1,1,18.08450617,
229303,233302,9,9,202305,327,1,@2523,2,mts,2,6035.56,1689.96,1,1,9.228685015,
229303,274407,9,9,202304,420,1,@2523,20,MTS,20,392812.5,109987.5,3,1,46.76339286,
