start_pin,destination_pin,bharat_sir_eway_data_aug23_sep23_020424.origin_from_state,bharat_sir_eway_data_aug23_sep23_020424.destination_from_state,bharat_sir_eway_data_aug23_sep23_020424.rtn_period,travel_distance,bharat_sir_eway_data_aug23_sep23_020424.transport_mode,bharat_sir_eway_data_aug23_sep23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_aug23_sep23_020424.unit_quantity_code,Quantity (in TON),amount,bharat_sir_eway_data_aug23_sep23_020424.total_tax,bharat_sir_eway_data_aug23_sep23_020424.ewbs_count,bharat_sir_eway_data_aug23_sep23_020424.supplier_gstin_cnt,Cost pre Km per TON
110041,800025,7,10,202308,1065,1,@2523,2110,bag,105.5,738500,206780,1,1,6.572769953
110042,193222,7,1,202309,885,1,@2523,560,BAG,28,376320,105369.6,2,1,15.18644068
110051,226001,7,9,202308,525,1,@2523,1785,BAG,89.25,606900,169932,1,1,12.95238095
123305,151001,6,3,202309,303,1,@2523,8,MTS,8,51250,14350,1,1,21.14273927
123305,244901,6,9,202308,318,1,@2523,20,MTS,20,284450.8,79646.22,3,1,44.72496855
123413,122503,6,6,202309,500,1,@2523,11.5,MTS,11.5,141593.37,39646.26,2,1,24.62493391
124106,143401,6,3,202308,507,1,@2523,43,TON,43,683296.88,191323.12,4,1,31.34245585
124106,144514,6,3,202308,370,1,@2523,42,TON,42,748157.8,209484.2,5,1,48.14400257
124106,248125,6,5,202309,333,1,@2523,8,TON,8,52500,14700,1,1,19.70720721
124146,140119,6,3,202308,377,1,@2523,15,MTS,15,294105,82349.56,4,1,52.00795756
124146,152001,6,3,202309,497,1,@2523,42,MTS,42,612873,171604.15,3,1,29.36059212
124146,243635,6,9,202308,451,1,@2523,42,MTS,42,255938,71662.5,1,1,13.51166719
127022,152116,6,3,202308,324,1,@2523,14,MTS,14,84218.75,23581.25,1,1,18.56674383
140113,124103,3,6,202309,316,1,@2523,40,TON,40,329633.04,92297.26,2,1,26.07856329
143001,173234,3,2,202308,316,1,@2523,700,BAG,35,234500,65660,1,1,21.20253165
145001,194101,3,38,202308,966,1,@2523,6.5,TON,6.5,79218.74,22181.26,2,1,12.61645803
146111,185132,3,1,202308,372,1,@2523,10,TON,10,132187.5,37012.5,2,1,35.53427419
146111,190005,3,1,202309,483,1,@2523,12.5,TON,12.5,81640.62,22859.38,1,1,13.5222559
146111,190017,3,1,202309,497,1,@2523,25,TON,25,351953.12,98546.88,2,1,28.32620684
171102,151002,2,3,202308,349,1,@2523,24.04,TON,24.04,820296.3,229682.94,7,1,97.77118127
174013,175132,2,2,202308,333,1,@2523,12,TON,12,342360,95860.8,6,1,85.67567568
175027,176323,2,2,202308,364,1,@2523,100,BAG,5,159375,44625,5,1,87.56868132
175027,194001,2,38,202309,784,1,@2523,5,TON,5,61718.74,17281.26,2,1,15.74457653
182101,194302,1,38,202309,628,1,@2523,30,TON,30,868125,243075,4,1,46.07882166
184101,184206,1,1,202309,315,1,@2523,115,BAG,5.75,43125,12550.78,1,1,23.80952381
184101,185121,1,1,202308,320,1,@2523,190,BAG,9.5,189257.82,52992.18,3,1,62.25586184
190009,194302,1,38,202309,432,1,@2523,71,BAG,3.55,23485.88,80781.76,1,1,15.31421492
190014,194301,1,38,202309,320,1,@2523,150,Bag,7.5,60352,16898.56,1,1,25.14666667
202143,243506,9,9,202308,321,1,@2523,12,MTS,12,68250,19110,1,1,17.71806854
203205,212601,9,9,202309,545,1,@2523,20,MTS,20,101875,28525,1,1,9.346330275
203205,262202,9,9,202309,317,1,@2523,25,MTS,25,158984.29,44515.6,1,1,20.06110915
203205,262802,9,9,202308,396,1,@2523,5,MTS,5,28828,8071.84,1,1,14.55959596
203205,262902,9,9,202309,412,1,@2523,10,MTS,10,747998.75,209439.66,12,1,181.5530947
203205,262902,9,9,202309,412,1,@2523,32,MTS,32,211500,59220,1,1,16.04217233
209601,212214,9,9,202308,334,1,@2523,790,BAG,39.5,228359.38,63940.62,1,1,17.30913212
210341,228001,9,9,202308,302,1,@2523,3,TON,3,14062.5,3937.5,1,1,15.52152318
210341,243203,9,9,202309,473,1,@2523,15,TON,15,97734.38,27365.62,1,1,13.77510641
212107,209841,9,9,202308,316,1,@2523,10,MTS,10,185937.6,52062.56,3,1,58.84101266
212107,275103,9,9,202309,302,2,@2523,1296.9,MTS,1296.9,6904280.59,0,1,1,17.62807947
221110,829117,9,20,202308,360,1,@2523,29.06,MTS,29.06,114787,32140.36,1,1,10.97222222
221110,829122,9,20,202308,370,1,@2523,30.72,MTS,30.72,121344,33976.32,1,1,10.67567568
227409,206245,9,9,202309,344,1,@2523,32,TON,32,391000,109480,2,2,35.51962209
227409,242127,9,9,202308,345,1,@2523,25,TON,25,1510546.86,422953.14,10,1,175.1358678
