start_pin,destination_pin,bharat_sir_eway_data_dec23_feb24_020424.origin_from_state,bharat_sir_eway_data_dec23_feb24_020424.destination_from_state,bharat_sir_eway_data_dec23_feb24_020424.rtn_period,travel_distance,bharat_sir_eway_data_dec23_feb24_020424.transport_mode,bharat_sir_eway_data_dec23_feb24_020424.hsn_code_4d,quantity,bharat_sir_eway_data_dec23_feb24_020424.unit_quantity_code,Quantity (in TON),amount,bharat_sir_eway_data_dec23_feb24_020424.total_tax,bharat_sir_eway_data_dec23_feb24_020424.ewbs_count,bharat_sir_eway_data_dec23_feb24_020424.supplier_gstin_cnt,Cost pre Km per TON
110045,226005,7,9,202312,539,1,@2523,900,BAG,45,25830530,7232548.4,3,1,1064.956916
110059,277302,7,9,202312,957,1,@2523,500,BAG,25,151000,42280,1,1,6.31138976
110086,303007,7,8,202312,301,1,@2523,740,BAG,37,1736040,486091.2,7,1,155.8803987
121004,600019,6,33,202312,2135,1,@2523,570,BAG,28.5,592800,165984,4,1,9.742388759
123305,151001,6,3,202402,303,1,@2523,17,MTS,17,117201.74,32816.49,2,1,22.75320132
123305,151001,6,3,202312,303,1,@2523,27.5,MTS,27.5,171015.62,47884.37,1,1,20.52392679
124106,134102,6,6,202402,305,1,@2523,30,TON,30,200625,56175,1,1,21.92622951
124106,144024,6,3,202312,413,1,@2523,41,TON,41,305667.82,85586.98,2,1,18.05160456
124146,140110,6,3,202402,324,1,@2523,39.25,MTS,39.25,214648.44,60101.56,1,1,16.87885822
124146,184121,6,1,202312,612,1,@2523,41.05,MTS,41.05,205250,57470,1,1,8.169934641
124146,248001,6,5,202402,377,1,@2523,5,MTS,5,32187.5,9012.5,1,1,17.07559682
124146,248121,6,5,202402,379,1,@2523,6,MTS,6,30196.86,8455.12,1,1,13.27918206
127022,247129,6,9,202402,377,1,@2523,5,TON,5,33281.25,9318.75,1,1,17.65583554
140113,182204,3,1,202402,617,1,@2523,31.47,TON,31.47,174560.16,48876.84,1,1,8.990073127
140113,184144,3,1,202402,304,1,@2523,50.78,TON,50.78,321342.19,89975.81,1,1,20.81620082
140113,246171,3,5,202312,407,1,@2523,33.25,TON,33.25,181835.94,50914.06,1,1,13.43673237
140113,246194,3,5,202402,367,1,@2523,39.07,TON,39.07,210611.72,58971.28,1,1,14.68835159
140113,249161,3,5,202402,397,1,@2523,22.51,TON,22.51,121342.97,33976.03,1,1,13.57840064
140113,249161,3,5,202402,397,1,@2523,32.92,TON,32.92,177459.37,49688.63,1,1,13.57840012
140113,249192,3,5,202312,311,1,@2523,39.44,TON,39.44,212606.25,59529.75,1,1,17.33319936
140113,263153,3,5,202312,460,2,@2523,125.8,TON,125.8,817319.34,228849.42,2,1,14.12385671
141001,360006,3,24,202312,1476,1,@2523,698,BAG,34.9,184272,51596.16,1,1,3.577235772
142056,247662,3,10,202402,308,1,@2523,680,BAG,34,167344,46856.32,1,1,15.98013751
143001,110044,3,7,202312,476,1,@2523,615,BAG,30.75,232777.5,65177.7,1,1,15.90336134
146001,193201,3,1,202312,521,1,@2523,0.5,TON,0.5,3539.06,990.94,1,1,13.58564299
146001,193201,3,1,202312,521,1,@2523,5,TON,5,35390.62,9909.38,1,1,13.58565067
151401,247001,3,9,202312,345,1,@2523,200,BAG,10,50782,14218.96,1,1,14.71942029
180011,182204,1,1,202312,308,1,@2523,30,MTS,30,4134375,1157625,21,1,447.4431818
201008,226301,9,9,202312,522,1,@2523,28.5,MTS,28.5,455928.76,127660.06,3,1,30.6465524
201306,224001,9,9,202312,638,1,@2523,380,BAG,19,994531.2,278468.8,10,1,82.04349117
202143,284405,9,9,202312,483,1,@2523,30,MTS,30,656250.5,183750,4,1,45.28988958
203205,209861,9,9,202402,494,1,@2523,25,MTS,25,133203.13,37296.88,1,1,10.78567854
203205,242001,9,9,202312,345,1,@2523,29.5,MTS,29.5,469050,131334,3,1,46.08695652
203205,262309,9,5,202402,328,1,@2523,24,MTS,24,127200,35616,1,1,16.15853659
203205,262802,9,9,202312,396,1,@2523,19.5,MTS,19.5,516750,144690,5,1,66.91919192
