start_pin,destination_pin,bharat_sir_eway_data_jun23_jul23_020424.origin_from_state,bharat_sir_eway_data_jun23_jul23_020424.destination_from_state,bharat_sir_eway_data_jun23_jul23_020424.rtn_period,travel_distance,bharat_sir_eway_data_jun23_jul23_020424.transport_mode,bharat_sir_eway_data_jun23_jul23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_jun23_jul23_020424.unit_quantity_code,Quantity (in TON),amount,bharat_sir_eway_data_jun23_jul23_020424.total_tax,bharat_sir_eway_data_jun23_jul23_020424.ewbs_count,bharat_sir_eway_data_jun23_jul23_020424.supplier_gstin_cnt,Cost pre Km per TON
123305,151001,6,3,202306,303,1,@2523,23,MTS,23,132968.75,37231.25,1,1,19.080033
124146,144036,6,3,202306,402,1,@2523,39.15,MTS,39.15,226336,63374.07,1,1,14.38122288
124146,151203,6,3,202306,415,1,@2523,2,MTS,2,8359,2340.63,1,1,10.07108434
124146,151203,6,3,202307,415,1,@2523,14,MTS,14,59609,16690.62,1,1,10.25972461
124146,173025,6,2,202306,323,1,@2523,38.4,MTS,38.4,202800,56784,1,1,16.3506192
140113,176309,3,2,202306,418,1,@2523,24.94,TON,24.94,123725.78,34643.22,1,1,11.86827141
140113,246171,3,5,202306,407,1,@2523,32.6,TON,32.6,178281.25,49918.75,1,1,13.43673219
140113,246171,3,5,202307,407,1,@2523,33.5,TON,33.5,183203.12,51296.88,1,1,13.43673182
140113,246194,3,5,202307,367,1,@2523,40,MTS,40,215625,60375,1,1,14.6883515
140114,182101,3,1,202306,388,2,@2523,65.4,TON,65.4,320639.31,89779.01,1,1,12.63593233
151111,176200,3,2,202307,313,1,@2523,58.57,MTS,58.57,386195.94,108134.87,1,1,21.06629407
171102,151002,2,3,202306,349,1,@2523,12.13,TON,12.13,61804.78,17305.34,1,1,14.59942788
171102,151002,2,3,202306,349,1,@2523,24.56,TON,24.56,127213.21,35619.7,1,1,14.84152138
171102,172111,2,2,202307,381,1,@2523,12,TON,12,1195027.48,334607.72,16,2,261.3795888
171102,184121,2,1,202306,337,1,@2523,24.2,TON,24.2,83490,23377.2,1,1,10.23738872
174101,151211,2,3,202306,314,1,@2523,25,TON,25,159375,44625,1,1,20.30254777
175008,194302,2,6,202306,1026,1,@2523,8,TON,8,100000,28000,2,1,12.18323587
175019,194302,2,38,202306,1020,1,@2523,160,BAG,8,100000,28000,2,1,12.25490196
180015,182204,1,1,202307,306,1,@2523,0,Bag,0,192187.5,53812.5,1,1,#DIV/0!
181133,191111,1,1,202307,309,1,@2523,480,BAG,24,739200,0,4,2,99.6763754
