start_pin,destination_pin,bharat_sir_eway_data_mar24_050424.origin_from_state,bharat_sir_eway_data_mar24_050424.destination_from_state,bharat_sir_eway_data_mar24_050424.rtn_period,travel_distance,bharat_sir_eway_data_mar24_050424.transport_mode,bharat_sir_eway_data_mar24_050424.hsn_code_4d,quantity,bharat_sir_eway_data_mar24_050424.unit_quantity_code,Quantity (In TON),amount,bharat_sir_eway_data_mar24_050424.total_tax,bharat_sir_eway_data_mar24_050424.ewbs_count,bharat_sir_eway_data_mar24_050424.supplier_gstin_cnt,Cost pre Km per TON
110032,284419,7,7,202403,459,1,@2523,960,BAG,48,441600,123648,1,1,20.04357298
110040,205001,7,9,202403,356,1,@2523,1385,BAG,69.25,498600,139608,1,1,20.2247191
110068,125077,7,6,202403,314,1,@2523,910,BAG,45.5,317590,88925.2,1,1,22.22929936
110071,141001,7,3,202403,335,1,@2523,1190,PCS,,1189524,333068,4,1,#DIV/0!
123305,144505,6,3,202403,382,1,@2523,40,MTS,40,144348,40417.44,1,1,9.446858639
123305,243001,6,9,202403,382,1,@2523,20,MTS,20,76612.4,21451.47,1,1,10.02780105
124146,140110,6,3,202403,324,1,@2523,39.62,MTS,39.62,420962.5,117869.5,2,1,32.79320988
124146,146001,6,3,202403,430,1,@2523,2,MTS,2,11625,3255,1,1,13.51744186
124146,152116,6,3,202403,378,1,@2523,40,MTS,40,173562.41,48597.47,1,1,11.47899537
124146,174013,6,2,202403,455,1,@2523,37.26,MTS,37.26,247429.69,69280.31,1,1,14.59478037
124146,246149,6,5,202403,325,1,@2523,7,MTS,7,41343.75,11576.25,1,1,18.17307692
124146,249403,6,5,202403,324,1,@2523,37,MTS,37,194250,54390,1,1,16.2037037
124146,263139,6,5,202403,401,1,@2523,4,MTS,4,17843.76,4996.25,1,1,11.12453865
125103,248142,6,5,202403,390,1,@2523,860,BAG,43,239183.2,66971.3,1,1,14.2625641
140113,180012,3,1,202403,342,2,@2523,131.8,TON,131.8,794708.89,222518.49,1,1,17.63057818
140113,184144,3,1,202403,304,1,@2523,63.38,TON,63.38,401076.56,112301.44,1,1,20.81620053
140113,203207,3,9,202403,336,1,@2523,41.98,TON,41.98,216958.56,60748.4,1,1,15.38137208
140113,246194,3,5,202403,367,1,@2523,49.77,TON,49.77,264403.12,74032.88,1,1,14.47547657
140113,249192,3,5,202403,311,1,@2523,31.95,TON,31.95,172230.47,48224.53,1,1,17.33319948
140401,182204,3,1,202403,674,1,@2523,22.3,MTS,22.3,303140.64,84879.39,3,1,20.16876954
140401,182204,3,1,202403,674,1,@2523,26.8,MTS,26.8,121437.5,34002.5,1,1,6.722922849
151111,180003,3,1,202403,387,1,@2523,64.74,MTS,64.74,328758.14,92052.28,1,1,13.1217831
171102,151002,2,3,202403,349,1,@2523,24.22,TON,24.22,111173.34,31128.54,1,1,13.15228126
174308,173027,2,2,202403,340,1,@2523,240,BAG,12,156374.4,43784.84,2,1,38.32705882
202143,248121,9,5,202403,328,1,@2523,44.25,MTS,44.25,262734.37,73565.63,1,1,18.1021338
210341,221007,9,9,202403,382,1,@2523,42,TON,42,387187.48,108412.52,2,1,24.13285216
210341,224122,9,9,202403,362,1,@2523,7,TON,7,34187.34,0,1,1,13.49145225
210341,272153,9,9,202403,427,1,@2523,12,TON,12,60851.24,0,1,1,11.8757299
210341,276001,9,9,202403,463,1,@2523,42,TON,42,1111162.44,0,6,1,57.14092564
212107,206249,9,9,202403,385,1,@2523,30,MTS,30,173437.5,48562.5,1,1,15.01623377
212107,209625,9,9,202403,396,2,@2523,511.2,MTS,511.2,2609430.62,0,1,1,12.890202
