start_pin,destination_pin,bharat_sir_eway_data_oct23_nov23_020424.origin_from_state,bharat_sir_eway_data_oct23_nov23_020424.destination_from_state,bharat_sir_eway_data_oct23_nov23_020424.rtn_period,travel_distance,bharat_sir_eway_data_oct23_nov23_020424.transport_mode,bharat_sir_eway_data_oct23_nov23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_oct23_nov23_020424.unit_quantity_code,Quantity (In TON),amount,bharat_sir_eway_data_oct23_nov23_020424.total_tax,bharat_sir_eway_data_oct23_nov23_020424.ewbs_count,bharat_sir_eway_data_oct23_nov23_020424.supplier_gstin_cnt,Cost pre Km per TON
110092,392001,7,24,202311,1115,1,@2523,1500,Bag,75,457500,128100,1,1,5.470852018
124106,141015,6,3,202310,367,1,@2523,13,TON,13,81453.13,22806.88,1,1,17.07254873
124106,143006,6,3,202311,493,1,@2523,12,TON,12,47120.62,13193.78,1,1,7.964945909
124106,147001,6,3,202310,304,1,@2523,40,TON,40,212500,59500,1,1,17.47532895
124146,140306,6,3,202310,306,1,@2523,39.4,MTS,39.4,233938,65502.5,1,1,19.40363624
124146,140802,6,3,202311,337,1,@2523,39.38,MTS,39.38,227666,63746.38,1,1,17.15507277
124146,152116,6,3,202310,378,1,@2523,15,MTS,15,364220,101981.26,4,1,64.23633157
140113,176309,3,2,202310,418,1,@2523,26,TON,26,128984.37,36115.63,1,1,11.86827107
140113,203207,3,9,202310,336,1,@2523,41.14,TON,41.14,411194.14,115134.36,2,1,29.74701223
140113,203207,3,9,202311,336,1,@2523,41.24,TON,41.24,416993.14,116758.08,2,1,30.0933805
140113,203207,3,9,202310,336,1,@2523,41.46,TON,41.46,207196.26,58014.95,1,1,14.87350544
140113,246194,3,5,202310,367,1,@2523,41.45,TON,41.45,446882.82,125127.18,2,1,29.37670349
140115,249201,3,5,202311,310,2,@2523,329.5,TON,329.5,4619431.11,1293440.7,3,1,45.22425092
146111,182146,3,1,202310,374,1,@2523,25,TON,25,169140.62,47359.38,1,1,18.08990588
151401,132103,3,6,202310,350,1,@2523,200,BAG,10,102344,28656.32,2,1,29.24114286
152002,244301,3,9,202310,604,1,@2523,250,BAG,12.5,52750,14770,1,1,6.986754967
175018,194101,2,38,202310,803,1,@2523,220,BAG,11,146093.74,40906.24,2,1,16.5395381
181101,182204,1,9,202311,311,1,@2523,28,MTS,28,700000,196000,4,1,80.38585209
184102,185121,1,1,202311,305,1,@2523,16,TON,16,570000,159600,6,1,116.8032787
201008,246174,9,5,202311,350,1,@2523,39.32,MTS,39.32,215031.25,60208.75,1,1,15.625
203205,208027,9,9,202310,472,1,@2523,18,MTS,18,95906.14,26853.72,1,1,11.28838748
203205,225403,9,9,202311,610,1,@2523,18.5,MTS,18.5,110133,30837.24,1,1,9.759237926
203205,262701,9,9,202311,432,1,@2523,10,MTS,10,636000,178080,12,1,147.2222222
203205,271870,9,9,202310,680,1,@2523,32,MTS,32,169600,47488,1,1,7.794117647
