,start_pin,destination_pin,travel_distance,Quantity (In TON),amount
0,110092,392001,1115,75.0,585600.0
1,124106,141015,367,13.0,104260.01000000001
2,124106,143006,493,12.0,60314.4
3,124106,147001,304,40.0,272000.0
4,124146,140306,306,39.4,299440.5
5,124146,140802,337,39.38,291412.38
6,124146,152116,378,15.0,466201.26
7,140113,176309,418,26.0,165100.0
8,140113,203207,336,41.14,526328.5
9,140113,203207,336,41.24,533751.22
10,140113,203207,336,41.46,265211.21
11,140113,246194,367,41.45,572010.0
12,140115,249201,310,329.5,5912871.8100000005
13,146111,182146,374,25.0,216500.0
14,151401,132103,350,10.0,131000.32
15,152002,244301,604,12.5,67520.0
16,175018,194101,803,11.0,186999.97999999998
17,181101,182204,311,28.0,896000.0
18,184102,185121,305,16.0,729600.0
19,201008,246174,350,39.32,275240.0
20,203205,208027,472,18.0,122759.86
21,203205,225403,610,18.5,140970.24
22,203205,262701,432,10.0,814080.0
23,203205,271870,680,32.0,217088.0
24,208001,306107,723,35.0,201600.0
25,210341,271201,333,35.0,2124500.0
26,212107,285202,345,5.0,152200.03
27,221003,441204,798,28.9,199756.8
28,221110,209722,437,35.0,182000.0
29,221110,226020,414,10.0,50000.0
30,227405,233231,334,42.0,1623300.0
31,227409,205265,338,25.0,625500.0
32,227409,206126,323,10.0,164800.0
33,227409,284403,516,42.0,193571.04
34,229303,232326,351,31.0,747732.4
35,229303,274302,422,22.0,181280.0
36,231207,274001,316,1263.0,6952916.04
37,231311,242407,653,20.0,156400.0
38,232101,261202,554,12.5,70000.0
39,233001,203001,890,8.75,59500.0
40,247661,263139,302,25.0,218000.0
41,263153,208007,429,45.0,151200.0
42,273308,476001,750,42.1,210163.2
43,282001,306107,442,40.0,230400.0
44,285205,274404,588,2.75,56435.61
45,301030,176027,614,12.5,157285.12
46,301701,246722,398,17.5,113750.0
47,305901,263153,679,590.1,3587808.0
48,305901,313803,328,40.0,272000.0
49,305901,325221,404,6.0,139080.03
50,305901,326519,329,13.0,695242.24
51,305901,383001,387,41.0,498560.0
52,305901,456665,477,36.0,218880.0
53,306101,243001,780,42.0,604800.0
54,306107,121001,495,45.0,3556800.0
55,306107,122001,427,45.21,325511.9
56,306107,122508,421,43.0,12792503.399999999
57,306107,123024,399,42.0,5139115.52
58,306107,123106,386,21.0,183960.32
59,306107,132041,597,41.73,600911.8099999999
60,306107,132105,541,44.64,399974.4
61,306107,132105,552,45.48,203750.4
62,306107,132105,552,47.72,213785.6
63,306107,135003,644,35.0,212800.0
64,306107,135021,672,45.16,325152.0
65,306107,140603,671,22.5,208800.0
66,306107,147001,614,45.8,334340.02
67,306107,152002,637,45.0,273600.0
68,306107,201310,520,42.0,2553600.0
69,306107,203205,528,40.46,181260.8
70,306107,203205,528,41.81,374617.6
71,306107,203205,528,44.73,601171.2
72,306107,203205,528,45.81,820915.2
73,306107,247662,700,45.0,273600.0
74,306107,301702,387,35.0,252000.0
75,306107,301707,386,44.04,1233120.0
76,306107,301707,386,47.04,329280.0
77,306107,322220,346,15.0,119100.16
78,306107,325004,304,10.0,76400.0
79,306107,334023,368,10.0,639002.24
80,306107,335804,418,40.08,140280.0
81,306107,380001,502,41.98,587720.02
82,306107,382427,507,21.0,127680.0
83,306107,454660,465,40.24,490927.72000000003
84,306308,126102,573,41.0,255525.12
85,306308,127306,471,41.91,162177.0
86,306308,134003,718,22.5,110016.0
87,306308,301402,370,33.0,267960.04
88,306308,301406,390,10.0,141400.0
89,306308,332021,359,36.0,0.0
90,306308,333702,392,36.0,1058400.0
91,306308,335051,442,5.0,42900.1
92,306308,335073,544,36.0,241200.0
93,306308,335523,433,43.0,292400.0
94,306308,344001,305,25.0,184500.5
95,306308,345001,448,31.0,243039.96
96,306709,203205,573,42.17,589867.24
97,306709,301019,437,41.08,479814.4
98,306709,343040,349,22.0,177320.0
99,307019,152023,917,22.0,187880.0
100,307019,302037,427,40.83,261312.0
101,307019,322230,603,20.0,316000.0
102,307019,331502,465,10.0,254999.94
103,307019,335523,697,14.0,121239.98000000001
104,307019,362037,554,31.0,118527.32999999999
105,307019,362560,579,34.0,268872.22000000003
106,307019,364515,500,30.0,237545.09
107,307019,388510,341,15.0,124499.98999999999
108,307019,390020,353,36.66,263952.0
109,307031,344001,316,40.95,540540.04
110,307031,382250,372,29.6,453623.56000000006
111,307031,388245,354,39.91,222777.76
112,312021,125052,703,34.5,261510.0
113,312021,127026,564,11.5,92230.0
114,312021,203393,696,21.5,176730.0
115,312021,203394,687,42.0,345240.0
116,312021,282006,592,42.5,1224000.0
117,312021,301030,447,38.0,212800.0
118,312021,333031,517,30.0,463200.0
119,312021,335804,630,40.0,132045.6
120,312021,388001,437,42.48,297360.0
121,312021,389380,403,42.0,614712.0
122,312021,452010,340,42.0,256200.0
123,312601,110033,616,45.76,347776.0
124,312601,110033,616,45.78,347928.25
125,312601,302001,349,20.0,608400.0
126,312601,302001,349,39.44,544272.5
127,312601,303301,381,3.5,24500.38
128,312601,321404,565,33.0,259380.38
129,312601,322241,499,7.5,58200.26
130,312601,325221,340,200.0,52200.0
131,312601,331303,500,27.0,227879.76
132,312601,343022,420,6.0,200400.52
133,312601,343024,301,14.0,455561.76
134,312601,380002,385,25.43,178009.69
135,312601,380002,385,29.8,208600.25
136,312601,380002,385,30.48,213360.5
137,312601,382110,416,44.68,335100.13
138,312601,382440,397,44.42,621880.26
139,312601,389320,417,41.67,304190.78
140,312601,394516,655,40.92,315083.63
141,312617,125121,708,45.0,412200.0
142,312617,302026,328,44.74,295284.0
143,312617,302029,341,44.24,300832.0
144,312617,331023,594,10.0,84400.0
145,312617,331023,594,32.0,276480.0
146,312617,335062,774,45.0,297000.0
147,312617,370105,655,39.1,277610.0
148,312620,121003,608,41.5,298800.0
149,312620,125113,732,35.0,305200.0
150,312620,126113,690,43.0,588240.0
151,312620,127306,567,42.14,190513.0
152,312620,131001,650,41.0,1335780.0
153,312620,134203,829,41.7,298572.0
154,312620,140301,856,42.8,192600.0
155,312620,140401,831,3951.4,27564926.89
156,312620,203408,694,29.5,275530.0
157,312620,281405,660,17.0,150960.0
158,312620,385565,420,42.0,3113040.0
159,312620,392002,477,42.0,796723.2
160,312620,394170,619,39.27,281959.0
161,312620,395003,638,44.34,323682.0
162,312620,464114,474,41.5,317890.0
163,312622,181133,1168,257.6,3709440.0
164,312622,201008,669,2066.91,555029822.6999999
165,312622,201206,684,1318.0,78017569.74000001
166,312622,322701,368,40.81,277508.01
167,312622,388245,402,41.44,1052642.36
168,313022,302036,417,42.0,1013748.96
169,313022,370415,573,40.96,754974.72
170,326520,281004,516,323.5,1572675.84
171,326520,321608,411,42.0,1224720.0
172,327025,311603,315,42.0,243600.0
173,327025,384265,310,5.0,198000.0
174,327025,396195,510,22.0,114400.0
175,327025,466665,456,28.0,237619.2
176,335804,141015,304,21.0,255360.0
177,335804,143112,351,10.0,90599.68
178,335804,144224,422,27.0,1389312.0
179,335804,176202,473,5.0,96480.0
180,341026,110077,510,41.42,302366.0
181,341026,131301,565,41.84,577392.0
182,341026,301705,414,43.0,1200560.02
183,341026,303326,351,33.9,196620.0
184,341026,321001,452,13.0,106080.0
185,341026,335523,334,15.0,254100.0
186,342606,110020,573,5.0,184536.2
187,342606,201001,598,27.7,3555203.31
188,342606,201308,613,27.3,442662.33
189,342606,263153,856,2.0,40204.8
190,342606,276001,1172,12.0,431059.98
191,342606,384001,428,5.95,104217.2
192,342606,415001,1276,10.0,167869.30000000002
193,342606,452010,638,17.5,309365.95999999996
194,342606,821305,1301,5.0,185816.39
195,342902,141001,812,27.5,1837440.0
196,342902,390022,632,10.0,101000.0
197,342902,515001,1916,2.0,59388.0
198,343041,334001,567,44.0,390725.64
199,360021,393002,396,25.0,94499.96
200,360311,383001,342,12.0,84000.0
201,360311,385001,399,6.0,42000.0
202,360311,387325,304,5.0,80300.0
203,360311,390019,326,25.0,1943130.0
204,360560,382210,381,25.09,87815.48
205,360560,383460,558,25.0,185000.0
206,360560,390022,452,25.0,181000.0
207,361345,362530,316,5.0,36000.0
208,361345,363001,360,5.8,27045.4
209,361345,363330,339,25.8,183180.16
210,361345,385566,526,26.0,556920.48
211,362275,387320,464,35.0,490001.0
212,362275,389330,532,29.18,217099.0
213,362715,380006,442,0.19,2871.2
214,362715,382421,461,30.02,228152.0
215,362715,382715,489,34.52,258900.0
216,365540,395007,538,1991.0,5824511.22
217,365560,380008,317,34.86,264936.01
218,365560,382345,321,24.46,190788.01
219,365560,391243,371,29.51,216603.59
220,365560,391243,371,29.62,652233.0
221,370511,363641,321,41.89,314175.0
222,370511,364004,575,42.0,623436.0
223,370511,380001,485,36.95,1337590.0
224,370511,380051,478,41.9,578218.0
225,370511,382007,506,35.66,260318.24
226,370511,382418,503,35.64,277992.01
227,370511,392150,613,35.0,213451.35
228,380004,361315,415,38.0,1604633.6
230,388245,396125,311,32.55,244125.22
231,388245,396125,311,35.44,1063201.0
232,388245,396125,311,35.65,267375.24
233,391350,312601,477,0.1,1848.0
234,394101,361170,553,34.8,253900.0
235,400703,380023,534,41.7,655457.28
236,400707,384450,604,30.0,422400.0
237,412219,401603,350,19.0,304759.56
238,421503,822114,1867,66.25,542720.0
239,425309,391350,475,35.0,184128.0
240,425406,421402,309,39.08,285284.26
241,442908,400708,867,32.0,246400.0
242,442908,431121,541,32.0,748800.0
243,442908,508213,511,5.0,42000.0
244,442916,444203,452,4.0,24000.0
245,445304,500018,403,263.6,1583752.67
246,454446,394115,320,41.6,916032.81
247,454446,462046,349,35.0,1414000.02
248,454446,466115,302,25.0,182500.0
249,454446,466651,303,30.0,172800.0
250,454446,473287,360,36.0,1980721.68
251,454446,396580,406,35.0,252000.0
252,458441,457887,324,30.0,180000.0
253,458470,453111,302,28.76,201320.01
254,458470,465669,321,18.0,137880.12
255,470661,273004,886,495.2,6310671.14
256,483880,203207,793,754.94,70444961.2
257,483880,227409,359,799.28,5864027.6
258,483880,227409,359,799.4,10135399.48
259,483880,227409,381,818.61,6005844.78
260,483880,461661,369,25.0,187000.0
261,483880,462010,367,723.0,4162345.7
262,483880,472442,307,16.0,1413120.0
263,484774,273411,464,35.0,207900.16
264,485111,209859,318,40.87,210071.53000000003
265,485111,223222,319,197.7,2726678.4
266,485111,224120,375,36.81,483418.36
267,485111,224120,375,43.82,287739.64
268,485111,224181,394,17.0,129880.0
269,485111,226002,383,41.71,216892.0
270,485111,273303,490,33.64,174928.0
271,485111,285001,330,14.0,78400.0
272,485111,821109,328,69.9,2122723.2
273,485771,221003,306,5.0,164544.0
274,485771,232101,316,41.84,200832.0
275,485771,232118,352,43.24,415104.0
276,485771,462026,461,25.0,3018478.0
277,485773,450117,571,30.0,504000.0
278,486450,208021,484,30.0,207000.2
279,486450,209825,473,18.0,122400.0
280,486450,229402,386,29.79,210317.6
281,486450,242127,678,41.31,892296.0
282,486450,273413,404,40.99,233643.27
283,486450,285204,550,35.0,259700.0
284,486776,477441,668,35.0,267400.01
285,488441,209722,406,41.64,291480.0
286,488441,224122,445,30.0,213000.0
287,488441,226102,399,39.77,278390.0
288,488441,231216,403,31.0,892800.0
289,490024,762014,410,37.28,924544.0
290,490036,480106,337,30.0,996000.0
291,490036,480888,465,30.0,1162800.0
292,490036,497778,460,31.0,429039.95999999996
293,490036,754295,556,37.38,102419.52
294,490036,800007,773,30.0,2176800.0
