,start_pin,destination_pin,travel_distance,Quantity (In TON),period,nifty_infra_price,amount,distance_per_ton,route_frequency,avg_route_price,period_dt,year,month,month_sin,month_cos
0,30,2349,1115,75.0,November 2023,6585.6,457500.0,14.866666666666667,1,457500.0,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
1,42,233,367,13.0,October 2023,6095.4,81453.13,28.23076923076923,3,49967.87,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
2,42,257,493,12.0,November 2023,6585.6,47120.62,41.083333333333336,1,47120.62,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
3,42,325,304,40.0,October 2023,6095.4,212500.0,7.6,4,226862.3775,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
4,43,218,306,39.4,October 2023,6095.4,233938.0,7.766497461928934,4,221755.25,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
5,43,226,337,39.38,November 2023,6585.6,227666.0,8.55764347384459,3,217131.0,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
6,43,372,378,15.0,October 2023,6095.4,364220.0,25.2,2,268891.205,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
7,60,419,418,26.0,October 2023,6095.4,128984.37,16.076923076923077,33,143604.10606060605,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
8,60,559,336,41.14,October 2023,6095.4,411194.14,8.167233835683033,11,247852.5372727273,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
9,60,559,336,41.24,November 2023,6585.6,416993.14,8.147429679922405,11,247852.5372727273,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
10,60,559,336,41.46,October 2023,6095.4,207196.26,8.104196816208393,11,247852.5372727273,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
11,60,982,367,41.45,October 2023,6095.4,446882.82,8.854041013268999,18,223384.06999999998,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
12,62,1036,310,329.5,November 2023,6585.6,4619431.11,0.9408194233687405,1,4619431.11,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
13,88,446,374,25.0,October 2023,6095.4,169140.62,14.96,2,267242.185,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
14,93,163,350,10.0,October 2023,6095.4,102344.0,35.0,2,63574.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
15,95,956,604,12.5,October 2023,6095.4,52750.0,48.32,1,52750.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
16,109,501,803,11.0,October 2023,6095.4,146093.74,73.0,10,559187.2160000001,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
17,126,450,311,28.0,November 2023,6585.6,700000.0,11.107142857142858,1,700000.0,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
18,133,467,305,16.0,November 2023,6585.6,570000.0,19.0625,4,178769.53,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
19,162,981,350,39.32,November 2023,6585.6,215031.25,8.901322482197354,15,172799.326,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
20,174,627,472,18.0,October 2023,6095.4,95906.14,26.22222222222222,1,95906.14,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
21,174,792,610,18.5,November 2023,6585.6,110133.0,32.972972972972975,2,84832.125,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
22,174,1103,432,10.0,November 2023,6585.6,636000.0,43.2,4,473714.0625,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
23,174,1148,680,32.0,October 2023,6095.4,169600.0,21.25,2,137800.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
24,179,1450,723,35.0,November 2023,6585.6,157500.0,20.65714285714286,2,146250.0,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
25,192,1128,333,35.0,October 2023,6095.4,1659765.66,9.514285714285714,2,1424140.6400000001,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
26,202,1329,345,5.0,October 2023,6095.4,118906.25,69.0,4,256988.3125,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
27,208,3066,798,28.9,November 2023,6585.6,156060.0,27.612456747404845,1,156060.0,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
28,212,652,437,35.0,November 2023,6585.6,142187.5,12.485714285714286,1,142187.5,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
29,212,810,414,10.0,October 2023,6095.4,39062.5,41.4,1,39062.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
30,237,895,334,42.0,November 2023,6585.6,1268203.1,7.9523809523809526,2,1258359.35,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
31,239,577,338,25.0,October 2023,6095.4,488671.88,13.52,1,488671.88,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
32,239,588,323,10.0,November 2023,6585.6,128750.0,32.3,1,128750.0,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
33,239,1310,516,42.0,November 2023,6585.6,151227.38,12.285714285714286,1,151227.38,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
34,243,884,351,31.0,November 2023,6585.6,747732.4,11.32258064516129,2,529710.72,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
35,243,1201,422,22.0,October 2023,6095.4,141625.0,19.181818181818183,7,243533.70285714284,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
36,245,1198,316,1263.0,October 2023,6095.4,6952916.04,0.2501979414093428,4,4761748.905,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
37,249,927,653,20.0,November 2023,6585.6,122187.5,32.65,1,122187.5,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
38,250,1076,554,12.5,November 2023,6585.6,54687.5,44.32,1,54687.5,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
39,251,552,890,8.75,November 2023,6585.6,46484.38,101.71428571428571,1,46484.38,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
40,266,1120,302,25.0,October 2023,6095.4,170312.5,12.08,1,170312.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
41,281,619,429,45.0,October 2023,6095.4,118125.0,9.533333333333333,1,118125.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
42,296,3470,750,42.1,October 2023,6095.4,164190.0,17.814726840855105,1,164190.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
43,304,1450,442,40.0,October 2023,6095.4,180000.0,11.05,2,113062.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
44,316,1207,588,2.75,November 2023,6585.6,36093.75,213.8181818181818,1,36093.75,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
