,start_pin,destination_pin,travel_distance,quantity_tons,period,nifty_infra_price,amount
0,110092,392001,1115,75.0,November 2023,6585.6,457500.0
1,124106,141015,367,13.0,October 2023,6095.4,81453.13
2,124106,143006,493,12.0,November 2023,6585.6,47120.62
3,124106,147001,304,40.0,October 2023,6095.4,212500.0
4,124146,140306,306,39.4,October 2023,6095.4,233938.0
5,124146,140802,337,39.38,November 2023,6585.6,227666.0
6,124146,152116,378,15.0,October 2023,6095.4,364220.0
7,140113,176309,418,26.0,October 2023,6095.4,128984.37
8,140113,203207,336,41.14,October 2023,6095.4,411194.14
9,140113,203207,336,41.24,November 2023,6585.6,416993.14
10,140113,203207,336,41.46,October 2023,6095.4,207196.26
11,140113,246194,367,41.45,October 2023,6095.4,446882.82
12,140115,249201,310,329.5,November 2023,6585.6,4619431.11
13,146111,182146,374,25.0,October 2023,6095.4,169140.62
14,151401,132103,350,10.0,October 2023,6095.4,102344.0
15,152002,244301,604,12.5,October 2023,6095.4,52750.0
16,175018,194101,803,11.0,October 2023,6095.4,146093.74
17,181101,182204,311,28.0,November 2023,6585.6,700000.0
18,184102,185121,305,16.0,November 2023,6585.6,570000.0
19,201008,246174,350,39.32,November 2023,6585.6,215031.25
20,203205,208027,472,18.0,October 2023,6095.4,95906.14
21,203205,225403,610,18.5,November 2023,6585.6,110133.0
22,203205,262701,432,10.0,November 2023,6585.6,636000.0
23,203205,271870,680,32.0,October 2023,6095.4,169600.0
24,208001,306107,723,35.0,November 2023,6585.6,157500.0
25,210341,271201,333,35.0,October 2023,6095.4,1659765.66
26,212107,285202,345,5.0,October 2023,6095.4,118906.25
27,221003,441204,798,28.9,November 2023,6585.6,156060.0
28,221110,209722,437,35.0,November 2023,6585.6,142187.5
29,221110,226020,414,10.0,October 2023,6095.4,39062.5
30,227405,233231,334,42.0,November 2023,6585.6,1268203.1
31,227409,205265,338,25.0,October 2023,6095.4,488671.88
32,227409,206126,323,10.0,November 2023,6585.6,128750.0
33,227409,284403,516,42.0,November 2023,6585.6,151227.38
34,229303,232326,351,31.0,November 2023,6585.6,747732.4
35,229303,274302,422,22.0,October 2023,6095.4,141625.0
36,231207,274001,316,1263.0,October 2023,6095.4,6952916.04
37,231311,242407,653,20.0,November 2023,6585.6,122187.5
38,232101,261202,554,12.5,November 2023,6585.6,54687.5
39,233001,203001,890,8.75,November 2023,6585.6,46484.38
40,247661,263139,302,25.0,October 2023,6095.4,170312.5
41,263153,208007,429,45.0,October 2023,6095.4,118125.0
42,273308,476001,750,42.1,October 2023,6095.4,164190.0
43,282001,306107,442,40.0,October 2023,6095.4,180000.0
44,285205,274404,588,2.75,November 2023,6585.6,36093.75
45,301030,176027,614,12.5,November 2023,6585.6,101952.5
46,301701,246722,398,17.5,October 2023,6095.4,88867.19
47,305901,263153,679,590.1,November 2023,6585.6,2802975.0
48,305901,313803,328,40.0,October 2023,6095.4,212500.0
49,305901,325221,404,6.0,November 2023,6585.6,108656.25
50,305901,326519,329,13.0,November 2023,6585.6,543158.0
51,305901,383001,387,41.0,October 2023,6095.4,389500.0
52,305901,456665,477,36.0,November 2023,6585.6,171000.0
53,306101,243001,780,42.0,October 2023,6095.4,472500.0
54,306107,121001,495,45.0,November 2023,6585.6,2778750.0
55,306107,122001,427,45.21,October 2023,6095.4,254306.17
56,306107,122508,421,43.0,November 2023,6585.6,9994143.29
57,306107,123024,399,42.0,November 2023,6585.6,4014934.0
58,306107,123106,386,21.0,November 2023,6585.6,143719.0
59,306107,132041,597,41.73,October 2023,6095.4,469462.35
60,306107,132105,541,44.64,November 2023,6585.6,312480.0
61,306107,132105,552,45.48,November 2023,6585.6,159180.0
62,306107,132105,552,47.72,October 2023,6095.4,167020.0
63,306107,135003,644,35.0,October 2023,6095.4,166250.0
64,306107,135021,672,45.16,October 2023,6095.4,254025.0
65,306107,140603,671,22.5,October 2023,6095.4,163125.0
66,306107,147001,614,45.8,October 2023,6095.4,261203.14
67,306107,152002,637,45.0,October 2023,6095.4,213750.0
68,306107,201310,520,42.0,November 2023,6585.6,1995000.0
69,306107,203205,528,40.46,October 2023,6095.4,141610.0
70,306107,203205,528,41.81,October 2023,6095.4,292670.0
71,306107,203205,528,44.73,October 2023,6095.4,469665.0
72,306107,203205,528,45.81,October 2023,6095.4,641340.0
73,306107,247662,700,45.0,November 2023,6585.6,213750.0
74,306107,301702,387,35.0,October 2023,6095.4,196875.0
75,306107,301707,386,44.04,November 2023,6585.6,1233120.0
76,306107,301707,386,47.04,November 2023,6585.6,329280.0
77,306107,322220,346,15.0,October 2023,6095.4,93047.0
78,306107,325004,304,10.0,November 2023,6585.6,59687.5
79,306107,334023,368,10.0,November 2023,6585.6,499220.5
80,306107,335804,418,40.08,November 2023,6585.6,140280.0
81,306107,380001,502,41.98,November 2023,6585.6,459156.26
82,306107,382427,507,21.0,October 2023,6095.4,99750.0
83,306107,454660,465,40.24,October 2023,6095.4,383537.28
84,306308,126102,573,41.0,October 2023,6095.4,199629.0
85,306308,127306,471,41.91,October 2023,6095.4,126700.82
86,306308,134003,718,22.5,October 2023,6095.4,85950.0
87,306308,301402,370,33.0,October 2023,6095.4,209343.78
88,306308,301406,390,10.0,November 2023,6585.6,110468.74
89,306308,332021,359,36.0,November 2023,6585.6,0.0
90,306308,333702,392,36.0,October 2023,6095.4,826875.0
91,306308,335051,442,5.0,November 2023,6585.6,33515.72
92,306308,335073,544,36.0,November 2023,6585.6,188437.5
93,306308,335523,433,43.0,October 2023,6095.4,228437.5
